BA,Boeing Co/The,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Marriott International Inc/MD,McDonald's Corp,Aramark,Starwood Hotels & Resorts Worldwide Inc,Hyatt Hotels Corp,Yum! Brands Inc,Starbucks Corp,Darden Restaurants Inc,Panera Bread Co,Brinker International Inc,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,Domino's Pizza Inc,H&R Block Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
administrative assistant,13.29,14.36,14.77,16.59,14.79,14.30,13.36,,13.18,20.17,,,,,,,,,,,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
assistant manager,16.62,16.98,20.20,19.13,20.81,13.82,19.63,17.88,19.81,13.23,14.25,24.85,17.65,22.40,14.58,,13.11,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14
banquet server,10.97,11.25,11.57,12.21,11.60,,,12.90,9.55,,,,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
barista,9.20,8.35,9.73,9.31,8.59,,8.56,,,,7.77,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
bartender,7.34,7.92,8.21,8.70,8.51,,9.50,9.22,9.00,,,6.75,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
catering manager,20.96,21.08,24.16,24.71,20.55,,18.54,24.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
concierge,9.69,10.59,11.03,11.97,11.69,,,10.69,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
cook,10.90,9.60,12.43,10.37,11.64,7.55,10.78,,,7.88,,,,11.45,8.18,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8
customer service representative,11.55,9.19,11.58,9.95,10.94,8.57,,,,7.53,9.09,,,,,,,,,7.17,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
event manager,21.61,21.77,25.97,27.84,22.44,,,,21.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
executive chef,28.86,30.70,31.80,34.19,34.77,,28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
food and beverage manager,19.74,18.84,23.94,22.43,18.81,,15.60,18.82,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
front desk agent,9.42,9.35,10.51,10.71,10.07,,,10.60,10.60,,,8.29,,,,,,8.72,8.37,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8
front desk clerk,9.30,9.10,9.36,9.69,9.67,,,,10.19,,,,,,,,,8.10,8.74,,,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6
front desk manager,11.86,13.59,13.63,15.68,12.95,,,15.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
general manager,24.48,23.58,25.82,25.97,26.41,20.45,31.94,,28.03,18.96,15.41,30.04,21.10,28.44,20.71,,21.48,18.17,19.67,15.62,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,16
guest service agent,9.51,10.25,11.19,11.88,9.77,,,10.44,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
guest service representative,9.39,9.29,10.11,10.49,10.06,,,,,,,,,,,,,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
guest services,9.27,9.52,9.56,10.69,9.80,,,9.36,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
guest services manager,14.33,14.97,16.30,16.76,,10.43,,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
hotel manager,22.83,25.05,31.36,31.07,20.25,,,38.14,24.87,,,,,,,,,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
housekeeper,8.67,8.70,9.46,9.89,9.14,,10.50,,,,,,,,,,,7.10,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
housekeeping manager,13.70,16.27,16.96,18.61,14.35,,17.64,19.06,16.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
intern,11.00,10.72,15.95,13.57,,15.38,9.62,10.40,,,,,,,,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
it manager,51.78,44.15,54.91,53.81,,,,39.17,,,,,,,,,,,,,,41.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
line cook,10.54,9.51,11.77,10.43,11.48,8.39,8.96,,10.71,7.45,,10.72,7.83,10.66,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10
manager,36.55,28.18,45.78,32.72,33.31,23.17,26.10,37.86,45.19,29.08,16.00,37.44,18.76,23.71,17.05,9.10,25.43,10.58,46.65,14.50,42.82,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19
marketing manager,37.30,39.91,47.87,47.42,37.20,44.72,33.36,34.95,,51.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6
night auditor,9.87,9.94,10.86,11.17,10.19,,,12.65,10.48,,,,,,,,,8.36,8.63,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7
office manager,16.42,15.72,19.01,18.70,16.15,,,16.15,16.42,,,,,,,,,,,,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
restaurant manager,18.08,18.24,21.41,19.93,14.63,18.38,,,,17.31,,22.48,18.47,22.92,,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8
revenue manager,29.62,26.23,32.38,31.29,21.91,,,27.97,25.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
sales coordinator,12.32,13.12,14.46,15.19,13.56,,,13.04,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
sales manager,21.11,21.62,24.62,25.74,21.20,,,21.64,22.67,,,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
security officer,10.38,9.40,12.29,11.37,,,,,10.17,,,,,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
server,7.56,6.90,8.71,7.75,7.57,7.25,8.90,8.10,7.62,4.46,,5.59,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9
SCORE,60.4,134/222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOT,Starwood Hotels & Resorts Worldwide Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Marriott International Inc/MD,Hilton Worldwide Holdings Inc,McDonald's Corp,Aramark,Hyatt Hotels Corp,Yum! Brands Inc,Starbucks Corp,Darden Restaurants Inc,Panera Bread Co,Brinker International Inc,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,Domino's Pizza Inc,H&R Block Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
accountant,28.19,24.82,32.94,29.07,23.79,,26.82,20.19,22.79,,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
assistant manager,17.88,16.98,23.41,19.13,20.81,16.62,13.82,19.63,19.81,13.23,14.25,24.85,17.65,22.40,14.58,,13.11,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14
banquet server,12.90,11.25,13.74,12.21,11.60,10.97,,,9.55,,,,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
bartender,9.22,7.92,9.39,8.70,8.51,7.34,,9.50,9.00,,,6.75,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
catering manager,24.28,21.08,29.44,24.71,20.55,20.96,,18.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
concierge,10.69,10.59,11.68,11.97,11.69,9.69,,,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
finance manager,34.12,38.38,44.42,45.99,27.48,,41.91,,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
financial analyst,30.79,32.11,32.04,35.47,,,,25.71,,,35.48,36.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
food and beverage manager,18.82,18.84,22.88,22.43,18.81,19.74,,15.60,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
front desk agent,10.60,9.35,12.44,10.71,10.07,9.42,,,10.60,,,8.29,,,,,,8.72,8.37,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
front desk manager,15.96,13.59,18.73,15.68,12.95,11.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
group sales manager,22.62,20.83,28.60,26.37,19.25,,,,20.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
guest service agent,10.44,10.25,13.04,11.88,9.77,9.51,,,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
guest services,9.36,9.52,11.84,10.69,9.80,9.27,,,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
guest services manager,20.14,14.97,22.68,16.76,,14.33,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
hotel manager,38.14,25.05,49.25,31.07,20.25,22.83,,,24.87,,,,,,,,,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
housekeeping manager,19.06,16.27,22.14,18.61,14.35,13.70,,17.64,16.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
hr manager,30.47,31.14,40.21,37.05,31.08,,27.00,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
intern,10.40,10.72,13.25,13.57,,11.00,15.38,9.62,,,,,,,,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
it manager,39.17,44.15,48.06,53.81,,51.78,,,,,,,,,,,,,,,,41.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
manager,37.86,28.18,52.11,32.72,33.31,36.55,23.17,26.10,45.19,29.08,16.00,37.44,18.76,23.71,17.05,9.10,25.43,10.58,46.65,14.50,42.82,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19
marketing manager,34.95,39.91,41.56,47.42,37.20,37.30,44.72,33.36,,51.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
night auditor,12.65,9.94,14.34,11.17,10.19,9.87,,,10.48,,,,,,,,,8.36,8.63,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
office manager,16.15,15.72,20.21,18.70,16.15,16.42,,,16.42,,,,,,,,,,,,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
revenue manager,27.97,26.23,33.58,31.29,21.91,29.62,,,25.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
sales coordinator,13.04,13.12,16.38,15.19,13.56,12.32,,,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
sales manager,21.64,21.62,26.81,25.74,21.20,21.11,,,22.67,,,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
server,8.10,6.90,8.95,7.75,7.57,7.56,7.25,8.90,7.62,4.46,,5.59,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9
software engineer h1b,47.52,48.91,56.05,57.10,43.18,,,,,,48.26,59.83,,,,,,,45.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
SCORE,75.0,123/164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRB,H&R Block Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Marriott International Inc/MD,Hilton Worldwide Holdings Inc,McDonald's Corp,Aramark,Starwood Hotels & Resorts Worldwide Inc,Hyatt Hotels Corp,Yum! Brands Inc,Starbucks Corp,Darden Restaurants Inc,Panera Bread Co,Brinker International Inc,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,Domino's Pizza Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
administrative assistant,11.42,14.36,12.21,16.59,14.79,13.29,14.30,13.36,,13.18,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
customer service representative,9.46,9.19,10.52,9.95,10.94,11.55,8.57,,,,7.53,9.09,,,,,,,,,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7
district manager,33.86,33.69,36.66,37.25,,,,40.74,,,33.87,34.71,,,,,,32.27,26.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
general manager,36.30,23.58,41.10,25.97,26.41,24.48,20.45,31.94,,28.03,18.96,15.41,30.04,21.10,28.44,20.71,,21.48,18.17,19.67,15.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16
manager,42.82,28.18,41.49,32.72,33.31,36.55,23.17,26.10,37.86,45.19,29.08,16.00,37.44,18.76,23.71,17.05,9.10,25.43,10.58,46.65,14.50,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19
office manager,13.44,15.72,14.73,18.70,16.15,16.42,,,16.15,16.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
project manager,42.45,36.58,39.64,41.23,,,35.19,,,,,39.44,,,,,,,,29.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
SCORE,73.4,47/64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Marriott International Inc/MD,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Hilton Worldwide Holdings Inc,McDonald's Corp,Aramark,Starwood Hotels & Resorts Worldwide Inc,Hyatt Hotels Corp,Yum! Brands Inc,Starbucks Corp,Darden Restaurants Inc,Panera Bread Co,Brinker International Inc,Chipotle Mexican Grill Inc,Six Flags Entertainment Corp,Wendy's Co/The,Extended Stay America Inc,Choice Hotels International Inc,Domino's Pizza Inc,H&R Block Inc,Wyndham Worldwide Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
accountant,23.79,24.82,31.68,29.07,,26.82,20.19,28.19,22.79,,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
administrative assistant,14.79,14.36,17.51,16.59,13.29,14.30,13.36,,13.18,20.17,,,,,,,,,,,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
assistant manager,20.81,16.98,25.59,19.13,16.62,13.82,19.63,17.88,19.81,13.23,14.25,24.85,17.65,22.40,14.58,,13.11,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14
associate,11.70,8.38,13.72,9.67,,6.42,,,,,7.77,,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
banquet server,11.60,11.25,12.67,12.21,10.97,,,12.90,9.55,,,,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
barista,8.59,8.35,9.91,9.31,9.20,,8.56,,,,7.77,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
bartender,8.51,7.92,9.65,8.70,7.34,,9.50,9.22,9.00,,,6.75,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7
business analyst,27.07,25.83,36.65,34.53,,30.36,26.00,,,,,,,,,,,,,,,19.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
catering manager,20.55,21.08,23.32,24.71,20.96,,18.54,24.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
concierge,11.69,10.59,13.48,11.97,9.69,,,10.69,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
cook,11.64,9.60,13.20,10.37,10.90,7.55,10.78,,,7.88,,,,11.45,8.18,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
customer service representative,10.94,9.19,11.17,9.95,11.55,8.57,,,,7.53,9.09,,,,,,,,,7.17,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
event manager,22.44,21.77,27.45,27.84,21.61,,,,21.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
executive chef,34.77,30.70,38.08,34.19,28.86,,28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
finance manager,27.48,38.38,33.24,45.99,,41.91,,34.12,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
food and beverage manager,18.81,18.84,21.49,22.43,19.74,,15.60,18.82,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
food server,8.92,6.75,10.18,7.87,,8.36,,,,,,5.13,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
front desk agent,10.07,9.35,11.75,10.71,9.42,,,10.60,10.60,,,8.29,,,,,,8.72,8.37,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8
front desk clerk,9.67,9.10,10.81,9.69,9.30,,,,10.19,,,,,,,,,8.10,8.74,,,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
front desk manager,12.95,13.59,14.68,15.68,11.86,,,15.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
general manager,26.41,23.58,29.43,25.97,24.48,20.45,31.94,,28.03,18.96,15.41,30.04,21.10,28.44,20.71,,21.48,18.17,19.67,15.62,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,16
group sales manager,19.25,20.83,23.62,26.37,,,,22.62,20.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
guest service agent,9.77,10.25,11.81,11.88,9.51,,,10.44,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
guest service representative,10.06,9.29,11.58,10.49,9.39,,,,,,,,,,,,,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
